,Alpha,Beta,Nu,Rho
AMEH,0.700094984216018,0.4522167675031065,1.0491706668640204,0.48454078463680156
AMG,0.368456653244607,0.03323495288202986,0.7260625953319818,-0.2681860431115793
AMGN,0.24836435316502545,0.0005510543743070551,0.14885503874800357,-0.937497594460169
AMH,0.299114973691001,0.004232163943898388,1.116512397385661,-0.21852852131001627
AMJ,0.5910550866428463,0.0005827340310325406,0.07370087679457672,-0.29846383109351016
AMK,0.4642422446008751,0.9998995565841723,2.1562628297313697,-0.8713921917094153
AMKR,0.47463700897708005,0.10778828783025693,0.4031484040184746,0.3327127567069084
AMLP,0.24753171014970682,0.005922782894029796,0.25202874326842517,0.99988445024995
AMLX,1.7782983160365295,0.5689700372924594,1.4493137840873127,-0.9995722053624103
AMN,0.4560777167321143,0.027388717504200515,0.8698631847878224,0.0001606977153519656
AMNB,0.3834707196235458,0.25483948762882114,2.2214963693423613,0.6632080154176403
AMOT,0.5820984263846274,0.28417316534204723,5.22861847518354,0.8303404561288704
AMP,0.3160933583764299,0.9999999999992845,1.379938652522562,-0.5686880107815138
AMPH,0.7165695408786039,0.00010284620927055546,0.8270641890571283,0.40559258734507825
AMPL,0.8041007652253636,0.5410683755621797,0.7541179685655514,-0.03132996341590236
AMPS,0.8553126625637641,0.00010007768467531247,1.2988955636035981,-0.0981043325517254
AMPY,0.863936106924497,0.1721338339010768,0.7936481013242808,0.9998999518107679
AMR,0.7137903804472662,0.2952748308398271,0.310833714687524,0.9998622834849031
AMRC,0.6570484159200762,0.0007328888434970152,0.016738983671236607,-0.9510103457964398
AMRK,0.6107547853280038,0.00010000008347128834,0.7796881981487787,0.3389951111663328
AMRN,2.195790247688011,0.8143400036472742,0.6055743362243655,-0.9998016169287565
AMRS,1.5718333808188951,0.7136216388906624,0.1776845712255852,-0.9998997939919452
AMRX,0.9534728853693973,0.41425705260658463,0.9385605071508184,0.9993276197119461
AMSC,0.8093443609368618,0.22987751401409823,0.6235295836332395,0.596392035622723
AMSF,0.5103619197181081,0.6135331378447437,0.35989625825110455,0.6711204667339612
AMSWA,1.1729468968476913,0.9676521079917482,2.513747890491053,-0.954708442065789
AMT,0.23166519010144676,0.3652173572319965,0.15768787205927137,0.9483387089226928
AMTB,0.6363791643000091,0.0006438018773596738,0.0009208393948478584,-0.9993416629833126
AMTI,1.3766858951637833,0.49849734527342976,0.9997272047760456,0.5000365264823424
AMTX,0.9960900023910257,0.00016112937243629029,0.9206468294225599,0.9997281026475691
AMWD,0.607957561778765,0.9999999999866781,2.5212434715584453,-0.7512720379652987
AMWL,0.6857345142150432,0.024247867544703768,0.8907184650068922,0.7352192954192074
AMX,0.32770453693316315,0.11932839232010993,1.5210404959138153,-0.7027648625558287
AMYT,1.4032510454498994,0.7075145487300165,0.0005827540355319002,0.9998223581967236
AMZA,0.3987396347562426,0.9999998833967289,0.791815104954786,-0.9998998613875635
AMZN,0.37956122790864033,0.00010000183562558357,0.3582347840954359,0.5827695060677931
AN,0.43652790759257637,0.013962490719093338,0.36680120779939535,0.40618898714703616
ANAB,0.927656240117549,0.46142050844254784,0.06297292202878087,-0.9998996838080109
ANDE,0.5091440807306282,0.00031864085525933734,0.8542303042768793,0.3899116630463369
ANET,0.39971926738078783,0.20528629836773943,0.18649241151127782,0.15523825133685468
ANF,0.854900205752434,0.3774664986946855,0.05754485846950234,0.9998999988040318
ANGI,0.7060782443238214,0.23319272240939384,1.1048261497751444,0.29830897151070396
ANGL,0.19312399845871706,0.0005948712223794319,0.07281103798349184,-0.9998940748417521
ANGO,0.7380059664693351,0.9998930097629934,1.936435321160361,-0.7908609200042686
ANIK,0.7651048451381244,0.9994845102512576,1.2758821764272914,0.46298908193879307
ANIP,0.6795557985703442,0.03272685933364182,0.22276799206608824,-0.764623002816999
ANIX,1.0139502097286368,0.4869604416575318,1.0006269690703615,0.4464846678398477
ANNX,0.8428910486199769,0.06667807780772801,1.0097731670568757,0.49898337420432315
ANSS,0.3827615671354072,0.0004997307838363538,0.0374553374071605,-0.908673531717969
ANTE,2.3889369240598595,0.5016155512276866,1.002014622422174,0.4998358285769527
ANY,1.7711018750145082,0.5763460670597699,0.00010038162166679316,0.9998997902795657
AON,0.29492977477192633,0.00012402700557529253,0.130915708109429,-0.885428665432301
AORT,0.9104177219950202,0.0004997307838362443,6.196130869314923,0.8562889569855106
AOS,0.3193454166297028,0.0341003687843251,0.5591144579471792,-0.012060644456805988
AOSL,0.6150591925556639,0.9999999999387184,1.2880691300509404,-0.3841412351146075
AOUT,0.8561386827186237,0.3621760977837921,0.9999021715511032,0.32210529271348604
AP,0.8712114637447542,0.15650492085161044,1.7133861476203984,-0.020729777974477757
APA,0.653396531203586,0.18752033182012456,0.2833699999075073,0.9998973720478835
APAM,0.3987910712899891,0.9899023672151793,4.379131889140155,-0.9208753763803369
APD,0.26088153015398474,0.43061462617755325,0.4629261811349338,-0.2869140158227798
APDN,1.7757778346415904,0.4993028589223319,0.8055207313133801,0.7437396450344138
APE,0.0005982416312426765,0.9999999304165806,0.001965559616742336,-0.9993399888425746
APEI,0.704967083482783,0.3675446805279063,1.0547459359657538,0.4913079921482388
APEN,1.1373456926848151,0.00010011094864584665,0.7153466602050498,0.4990623386889118
APG,0.6910900268431466,0.7379900930099441,2.673226670871937,-0.7969348348784377
APGN,1.862269448187192,0.5011930116713373,0.6087249348282611,0.600739066859
APH,0.2852774332805672,0.03385401771613986,0.13462336030855204,0.4139680183855739
API,1.0794283752054492,0.00010287772823351534,0.9898155201561039,0.5044800826676827
APLE,0.28434105249155744,0.00010000270061899589,1.6838082544699997,-0.49050282504295006
APLS,0.8132400693440202,0.08212100294497718,0.69712612125869,0.9998999776662602
APLT,1.3296678391367303,0.49974582093663533,0.9999516426239841,0.5002829668420053
APO,0.40686797620002246,0.0006296207806402586,0.05439020269999949,-0.8339948006891603
APOG,0.6428055755615988,0.0005505211922962019,0.40555505539411113,-0.9988756603283647
APP,0.7650145258658421,0.00010940371474941663,0.8761157954719904,0.7453567663935197
APPF,0.42297767261884356,0.31124659646129565,1.2745575330839491,-0.014295994335286012
APPH,1.2798874314544777,0.00010010316296043102,1.4938098149533539,-0.254724435016738
APPN,0.6686824920135782,0.00010041865335314805,0.3938186164656603,0.9992927889667648
APPS,0.7926221825224775,0.6599096980809094,0.013887697292095658,-0.9630325826253243
APRN,1.5704747460350068,0.6306605191806056,0.00012372407479133634,-0.9998995383786787
APT,4.025766729947021,0.9130318944460297,5.062644841762081,-0.5943747930365705
APTV,0.43958593113680494,0.12712511747181665,0.811021545674467,-0.05616016596485678
APYX,1.00487458783315,0.3728815841453653,1.1451631536668938,0.5004546369906754
AQB,0.809474306446827,0.00015674281314784439,1.872509595135616,0.9998924403806588
AQGX,0.4928839035919262,0.9939751643684485,0.7838089936603978,0.8473299725821352
AQN,0.6534147058622992,0.8467347986656116,3.0559171485714796,0.7252094282357238
AQST,1.3247141796031903,0.5016139090222645,0.9998383228631234,0.49967299900542766
AQUA,0.4502143761320265,0.0004997307838363538,0.15584800025251314,-0.8936110269706354
AQWA,0.3809782049671423,0.0007119636637503862,0.9065895083763278,0.5002598446897148
AR,0.7176977810187196,0.5230168245622013,0.042577559202247,-0.999882186182073
ARAY,1.4159756865117707,0.4991045020315766,0.2176002905261614,0.9960478485079781
ARBE,1.1582449864177329,0.00043821924311720963,1.9204194028904547,-0.20771150050852727
ARBK,1.2930969508335697,0.37234254577725046,1.1572756098331403,0.32469198965387314
ARC,0.6205679951343442,0.9999999337948996,1.2631715869264437,0.4994534467839447
ARCB,0.5027265662999216,0.12849022623138098,0.6358287586765135,-0.16837631845674025
ARCC,0.21989219132004334,0.0004997311427642584,3.0544893675882454,-0.8236025089568757
ARCE,0.7417709563140338,0.007134467086428547,1.5049319887144421,-0.14199164753945598
ARCH,0.5744126712122184,0.00010007012349146535,1.1466848502330218,0.10565613809584266
ARCO,0.5794731155182479,0.24273590899382916,1.603389666094015,-0.6593888001819881
ARCT,1.1989426201883169,0.46456096876541547,0.2057855962502726,0.9998999801086884
ARDS,1.3538988796330595,0.500083192081662,1.0002703671137816,0.49949726399312694
ARDX,1.6003261128471586,0.9675549096220851,0.008835315832003832,-0.9998993356916424
ARE,0.27642500168090056,0.00018931633517887844,0.50775368491907,-0.35992582826692215
AREC,1.2079321755372856,0.17321374299022071,1.000008452465263,0.5757148159767254
ARES,0.3423178363887155,0.4343499355978001,1.7948854237110927,-0.3172192628424302
ARGT,0.36545691200924957,0.9999999840870771,0.6090718159939299,-0.9998897286962154
ARGX,0.4194016812815744,0.06424202879706807,0.4839581292544846,0.34985758904668096
ARHS,0.7070747856775018,0.00010006875470999088,1.029017051005055,0.47533287722860784
ARI,0.41447326605994245,0.00010010185106275682,1.6043378039174665,-0.7318962817440103
ARIS,0.7030651670755501,0.00010005881149574396,0.9098704524784227,0.49997720964571574
ARKF,0.5690088487699825,0.00010000000000144445,0.5518518678224782,0.5085800628443269
ARKG,0.5641100387449534,0.0004997375976862447,0.38978648397234356,0.642791626352679
ARKK,0.582321864115334,0.0004997307152814547,0.2753279979761478,0.999788582392619
ARKO,0.5178689842736838,0.0006331289088905554,1.1981817810017779,-0.3082665434523857
ARKQ,0.37667567698063675,0.0001000002216917469,0.48558547897913007,0.35940052136878736
ARKW,0.5499748325028755,0.21964181926334161,0.1875396467814834,0.6231821113121306
ARKX,0.32633494366888294,0.09445897207384463,0.8245989497978526,0.49009618970323277
ARLO,0.7026693418548424,0.21171534064900552,0.8441850046041791,-0.110352045146858
ARLP,0.4344999432095593,0.00010007841096520769,1.3151307374842505,0.06394265284422061
ARMK,0.3124904501878559,0.00011321752462262325,0.537525965248183,-0.1923183382920564
ARMP,1.858740654234908,0.7643412410680661,1.8179219281559758,0.987501934837156
ARNC,0.5213794621849698,0.9998952809664543,0.23214485577923,-0.9268963260828913
AROC,0.4753201407087549,0.18069104624341822,1.4759270401037192,-0.7501155763041596
AROW,0.5304987572570952,0.0021082826724207037,0.4183856402611597,-0.9372764001426287
